date_key,calendar_date,fiscal_variant,fiscal_variant_desc,calendar_yr,calendar_yr_desc,calendar_yr_and_half_yr,calendar_yr_and_half_yr_desc,calendar_yr_and_qtr,calendar_yr_and_qtr_desc,calendar_yr_and_mo,calendar_yr_and_mo_desc,calendar_yr_and_wk,calendar_yr_and_wk_desc,fiscal_yr,fiscal_yr_desc,fiscal_yr_and_half_yr,fiscal_yr_and_half_yr_desc,fiscal_yr_and_per,fiscal_yr_and_per_desc,fiscal_yr_and_qtr,fiscal_yr_and_qtr_desc,fiscal_yr_and_wk,fiscal_yr_and_wk_desc,fiscal_wk_and_per,fiscal_wk_and_per_desc,fiscal_wk_and_qtr,fiscal_wk_and_qtr_desc,day_name,fiscal_currnt_qtd,fiscal_currnt_yr_to_dt_flg,fiscal_yr_and_per_long_desc,fiscal_yr_key,fiscal_yr_and_qtr_key,fiscal_yr_and_per_key,fiscal_yr_and_wk_key,fiscal_yr_flag,fiscal_yr_and_qtr_flag,fiscal_yr_and_per_flag,fiscal_yr_and_wk_flag,fiscal_wk_in_qtr,fiscal_wk_in_yr,fiscal_per_name,fiscal_per_name_and_qtr,fiscal_per_id,fiscal_per_id_and_qtr,fiscal_qtr_id,fiscal_qtr_name,fiscal_wk_in_per,fiscal_weeks_in_per,fiscal_weeks_in_qtr,fiscal_weeks_in_yr,fiscal_days_in_per,fiscal_days_in_qtr,fiscal_days_in_yr,fiscal_day_in_wk,fiscal_day_in_per,fiscal_day_in_qtr,fiscal_day_in_yr,fiscal_qtr_qtd_flag,fiscal_yr_ytd_flag,fiscal_qtr_qtcw_flag,fiscal_yr_ytcw_flag,fiscal_per_ptd_flag,fiscal_per_ptcw_flag,fiscal_wk_ending_date,fiscal_prv_yr_flag,fiscal_prv2_yr_flag,fiscal_prv3_yr_flag,fiscal_prv4_yr_flag,fiscal_prv5_yr_flag,fiscal_prv6_yr_flag,fiscal_prv_wk_flag,fiscal_prv2_wk_flag,fiscal_prv3_wk_flag,fiscal_prv4_wk_flag,fiscal_prv5_wk_flag,fiscal_prv6_wk_flag,fiscal_yr_ytp_flag,fiscal_yr_ytq_flag,fiscal_yr_ytfw_flag,fiscal_qtr_qtp_flag,fiscal_qtr_qtfw_flag,fiscal_per_ptfw_flag,fiscal_per_in_qtr,date_yyyymmdd,date_date,fiscal_nxt_qtd,fiscal_nxt_yr_flag,prv_qtr_flag,prv_yr_currnt_qtd_flag,fiscal_yr_and_per_yyyyppp,prv_qtd2_flag,prv_qtd3_flag,fiscal_nxt2_qtd,fiscal_nxt3_qtd,prv_qtd1_flag,fiscal_nxt1_qtd,fiscal_curr_prv5_yr_qtr_flag,fiscal_curr_prv3_yr_qtr_flag,fiscal_curr_prv7_yr_qtr_flag,fiscal_prv_curr_yr_to_dt_flag,fiscal_currnt_ptd,day_bucket,fiscal_wk_bucket,fiscal_per_bucket,fiscal_qtr_bucket,fiscal_yr_bucket,row_insertion_dttm
20240907,2024-09-07 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202436,2024-36,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,SATURDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,1.0000000,8.0000000,8.0000000,281.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240907,2024-09-07,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2368,339,78,26,6,16:33:58
20240908,2024-09-08 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202436,2024-36,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,SUNDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,2.0000000,9.0000000,9.0000000,282.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240908,2024-09-08,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2369,339,78,26,6,16:33:58
20230708,2023-07-08 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202327,2023-27,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,SATURDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,1.0000000,8.0000000,36.0000000,218.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230708,2023-07-08,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1941,278,64,21,5,16:33:58
20230709,2023-07-09 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202327,2023-27,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,SUNDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,2.0000000,9.0000000,37.0000000,219.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230709,2023-07-09,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1942,278,64,21,5,16:33:58
20230710,2023-07-10 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,MONDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,3.0000000,10.0000000,38.0000000,220.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230710,2023-07-10,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1943,278,64,21,5,16:33:58
20230711,2023-07-11 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,TUESDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,4.0000000,11.0000000,39.0000000,221.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230711,2023-07-11,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1944,278,64,21,5,16:33:58
20230712,2023-07-12 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,WEDNESDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,5.0000000,12.0000000,40.0000000,222.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230712,2023-07-12,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1945,278,64,21,5,16:33:58
20230713,2023-07-13 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202332,2023-32,202302,2023-02,202306,2023-06,THURSDAY,N,N,2023-JUL,20231201,20230901,20230728,20230714,N,N,N,N,06,32,JUL,JUL-Q3,08,08-Q3,3,Q3,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,6.0000000,13.0000000,41.0000000,223.0000000,N,N,N,N,Y,Y,2023-07-14 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2.0000000,20230713,2023-07-13,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1946,278,64,21,5,16:33:58
20230722,2023-07-22 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202329,2023-29,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,SATURDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,1.0000000,22.0000000,50.0000000,232.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230722,2023-07-22,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1955,280,64,21,5,16:33:58
20230723,2023-07-23 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202329,2023-29,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,SUNDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,2.0000000,23.0000000,51.0000000,233.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230723,2023-07-23,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1956,280,64,21,5,16:33:58
20230724,2023-07-24 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202330,2023-30,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,MONDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,3.0000000,24.0000000,52.0000000,234.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230724,2023-07-24,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1957,280,64,21,5,16:33:58
20230725,2023-07-25 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202330,2023-30,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,TUESDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,4.0000000,25.0000000,53.0000000,235.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230725,2023-07-25,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1958,280,64,21,5,16:33:58
20230726,2023-07-26 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202330,2023-30,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,WEDNESDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,5.0000000,26.0000000,54.0000000,236.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230726,2023-07-26,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1959,280,64,21,5,16:33:58
20230727,2023-07-27 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202330,2023-30,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202334,2023-34,202304,2023-04,202308,2023-08,THURSDAY,N,N,2023-JUL,20231201,20230901,20230728,20230728,N,N,N,N,08,34,JUL,JUL-Q3,08,08-Q3,3,Q3,4.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,6.0000000,27.0000000,55.0000000,237.0000000,N,N,N,N,N,N,2023-07-28 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230727,2023-07-27,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1960,280,64,21,5,16:33:58
20230715,2023-07-15 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202333,2023-33,202303,2023-03,202307,2023-07,SATURDAY,N,N,2023-JUL,20231201,20230901,20230728,20230721,N,N,N,N,07,33,JUL,JUL-Q3,08,08-Q3,3,Q3,3.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,1.0000000,15.0000000,43.0000000,225.0000000,N,N,N,N,N,N,2023-07-21 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230715,2023-07-15,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1948,279,64,21,5,16:33:58
20230716,2023-07-16 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202307,2023-JUL,202328,2023-28,2023,2023,20232,2023H2,202308,2023-08,20233,2023-Q3,202333,2023-33,202303,2023-03,202307,2023-07,SUNDAY,N,N,2023-JUL,20231201,20230901,20230728,20230721,N,N,N,N,07,33,JUL,JUL-Q3,08,08-Q3,3,Q3,3.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,2.0000000,16.0000000,44.0000000,226.0000000,N,N,N,N,N,N,2023-07-21 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.0000000,20230716,2023-07-16,N,N,N,N,2023008,N,N,N,N,N,N,N,N,N,N,N,1949,279,64,21,5,16:33:58
